"Nama Provinsi","Luas km","Populasi 2010","Populasi 2020"
"Aceh
","56.500,51
","4.494.410
","5.274.871
"
"Sumatra Utara
","72.427,81
","12.982.204
","14.799.361
"
"Sumatra Barat
","42.224,65
","4.846.909
","5.534.472
"
"Riau
","87.844,23
","5.538.367
","6.394.087
"
"Jambi
","45.348,49
","3.092.265
","3.548.228
"
"Sumatra Selatan
","91.592,43
","7.450.394
","8.467.432
"
"Bengkulu
","19.795,15
","1.715.518
","2.010.670
"
"Lampung
","37.735,15
","7.608.405
","9.007.848
"
"Kepulauan Bangka Belitung
","16.424,14
","1.223.296
","1.455.678
"
"Kepulauan Riau
","8.084,01
","1.679.163
","2.064.564
"
"Daerah Khusus Ibukota Jakarta
","740,29
","9.607.787
","10.562.088
"
"Jawa Barat
","36.925,05
","43.053.732
","48.274.162
"
"Jawa Tengah
","32.799,71
","32.382.657
","36.516.035
"
"Daerah Istimewa Yogyakarta
","3.133,15
","3.457.491
","3.668.719
"
"Jawa Timur
","46.689,64
","37.476.757
","40.665.696
"
"Banten
","9.018,64
","10.632.166
","11.904.562
"
"Bali
","5.449,37
","3.890.757
","4.317.404
"
"Nusa Tenggara Barat
","19.708,79
","4.500.212
","5.320.092
"
"Nusa Tenggara Timur
","46.137,87
","4.683.827
","5.325.566
"
"Kalimantan Barat
","120.114,32
","4.395.983
","5.414.390
"
"Kalimantan Tengah
","153.564,50
","2.212.089
","2.669.969
"
"Kalimantan Selatan
","37.530,52
","3.626.616
","4.073.584
"
"Kalimantan Timur
","194.849,08
","3.553.143
","3.766.039
"
"Kalimantan Utara
","72.567,49
","738.163
","701.814
"
"Sulawesi Utara
","13.930,73
","2.270.596
","2.621.923
"
"Sulawesi Tengah
","68.089,83
","2.635.009
","2.985.734
"
"Sulawesi Selatan
","46.116,45
","8.034.776
","9.073.509
"
"Sulawesi Tenggara
","36.757,45
","2.232.586
","2.624.875
"
"Gorontalo
","12.165,44
","1.040.164
","1.171.681
"
"Sulawesi Barat
","16.787,19
","1.158.651
","1.419.229
"
"Maluku
","47.350,42
","1.533.506
","1.848.923
"
"Maluku Utara
","39.959,99
","1.038.087
","1.282.937
"
"Papua Barat
","114.566,40
","760.422
","1.134.068
"
"Papua
","309.934,40
","2.833.381
","4.303.707
"
